2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 820, in __build__    : ** Generic step CONFIG/READ CONFIGURATION/INCLUDE APPLICATION VARIABLES
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 856, in __build__    : *** No item found
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 820, in __build__    : ** Generic step CONFIG/READ CONFIGURATION/INCLUDE MIDDLEWARE VARIABLES
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 856, in __build__    : *** No item found
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 820, in __build__    : ** Generic step CONFIG/READ CONFIGURATION/INCLUDE COMMON VARIABLES
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 856, in __build__    : *** No item found
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 820, in __build__    : ** Generic step PACKAGE/PACKAGE/PACKAGE
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 856, in __build__    : *** No item found
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 790, in __build__    : ** Collecting items for DB2/DELETE/MEMBER_ARCHIVE
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 856, in __build__    : *** No item found
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 790, in __build__    : ** Collecting items for DB2/DELETE/MEMBER_DELETE
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 856, in __build__    : *** No item found
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 790, in __build__    : ** Collecting items for DB2/UPDATE/MEMBER_ARCHIVE
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 854, in __build__    : *** 1 item found [BAM1.DBRM]
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 790, in __build__    : ** Collecting items for DB2/UPDATE/MEMBER_COPY
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 854, in __build__    : *** 1 item found [BAM1.DBRM]
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 790, in __build__    : ** Collecting items for DB2/BIND/DB2_BIND_PACKAGE
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 854, in __build__    : *** 1 item found [BAM1.DBRM]
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 790, in __build__    : ** Collecting items for DB2/BIND/DB2_BIND_PLAN
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 854, in __build__    : *** 1 item found [BAM1.DBRM]
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 790, in __build__    : ** Collecting items for DEPLOY_MODULES/DELETE/MEMBER_ARCHIVE
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 856, in __build__    : *** No item found
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 790, in __build__    : ** Collecting items for DEPLOY_MODULES/DELETE/MEMBER_DELETE
2025-06-26 14:52:10 - INFO  - wazideploy/manager/state/deployment_state_manager.py, line 856, in __build__    : *** No item found
